date,performance
2020-12-09,1.149101
2020-12-10,1.149101
2020-12-11,1.174316
2020-12-14,1.181081
2020-12-15,1.181081
2020-12-16,1.183511
2020-12-17,1.183511
2020-12-18,1.181779
2020-12-21,1.181779
2020-12-22,1.230708
2020-12-23,1.230708
2020-12-24,1.230708
2020-12-25,1.230708
2020-12-28,1.230708
2020-12-29,1.230708
2020-12-30,1.208625
2020-12-31,1.213821
2021-01-04,1.297461
2021-01-05,1.299193
2021-01-06,1.299193
2021-01-07,1.299193
2021-01-08,1.299193
2021-01-11,1.299193
2021-01-12,1.299193
2021-01-13,1.299193
2021-01-14,1.333018
2021-01-15,1.338298
2021-01-18,1.338298
2021-01-19,1.315543
2021-01-20,1.315543
2021-01-21,1.343833
2021-01-22,1.343833
2021-01-25,1.343833
2021-01-26,1.343833
2021-01-27,1.343833
2021-01-28,1.201068
2021-01-29,1.201068
2021-02-01,1.201068
