date,performance
2021-01-04,1.0
2021-01-05,1.0
2021-01-06,1.0
2021-01-07,1.0
2021-01-08,1.0
2021-01-11,1.0
2021-01-12,1.0
2021-01-13,1.0
2021-01-14,1.0
2021-01-15,1.0
2021-01-18,1.0
2021-01-19,1.0
2021-01-20,1.0
2021-01-21,1.0
2021-01-22,1.0
2021-01-25,1.0
2021-01-26,1.0
2021-01-27,1.0
2021-01-28,1.0
2021-01-29,1.0
2021-02-01,1.0
2021-02-02,1.0
2021-02-03,1.0
2021-02-04,1.0
2021-02-05,1.0
2021-02-08,1.0
2021-02-09,1.0
2021-02-17,1.0
2021-02-18,1.0
2021-02-19,1.0
2021-02-22,1.0
2021-02-23,1.0
2021-02-24,0.978796
2021-02-25,0.978796
2021-02-26,0.978796
2021-03-01,0.978796
2021-03-02,0.978796
2021-03-03,0.978796
2021-03-04,0.978796
2021-03-05,0.978796
2021-03-08,0.978796
2021-03-09,0.978796
2021-03-10,0.978796
2021-03-11,0.978796
2021-03-12,0.96865
2021-03-15,0.96865
2021-03-16,0.96865
2021-03-17,0.96865
2021-03-18,0.96865
2021-03-19,0.96865
2021-03-22,0.96865
2021-03-23,0.997162
2021-03-24,0.997162
2021-03-25,0.997162
2021-03-26,0.997162
2021-03-29,0.997162
2021-03-30,0.997162
2021-03-31,0.997162
2021-04-01,0.997162
2021-04-02,0.997162
2021-04-05,0.997162
2021-04-06,0.997162
2021-04-07,0.997162
2021-04-08,0.997162
2021-04-09,0.997162
2021-04-12,0.997162
2021-04-13,0.997162
2021-04-14,0.997162
2021-04-15,0.997162
2021-04-16,0.997162
2021-04-19,0.997162
2021-04-20,0.997162
2021-04-22,1.02469
2021-04-23,1.02469
2021-04-26,0.992578
2021-04-27,0.992578
2021-04-28,0.992578
2021-04-29,0.986806
2021-05-04,0.986806
2021-05-05,0.986806
2021-05-06,0.986806
2021-05-07,0.986806
2021-05-10,0.986806
2021-05-11,0.986806
2021-05-12,0.986806
2021-05-13,0.986806
2021-05-14,0.986806
2021-05-17,0.986806
2021-05-18,0.986806
2021-05-19,0.986806
2021-05-20,0.986806
2021-05-21,0.986806
2021-05-24,1.005232
2021-05-25,1.005232
2021-05-26,1.005232
2021-05-27,1.005232
2021-05-28,1.005232
2021-05-31,1.005232
2021-06-01,1.005232
2021-06-02,1.005232
2021-06-03,1.005232
2021-06-04,1.005232
2021-06-07,1.005232
2021-06-08,1.005232
2021-06-09,1.005232
2021-06-10,1.005232
2021-06-11,1.005232
2021-06-14,1.005232
2021-06-15,1.005232
2021-06-16,1.005232
2021-06-17,1.005232
2021-06-18,1.005232
2021-06-21,1.005232
2021-06-22,1.002016
2021-06-23,0.994801
2021-06-24,0.994801
2021-06-25,0.994801
2021-06-28,1.00024
2021-06-29,1.005679
2021-06-30,1.005679
2021-07-01,1.005679
2021-07-02,1.005679
2021-07-05,1.005679
2021-07-06,0.983167
2021-07-07,0.983167
2021-07-08,0.983167
2021-07-09,0.983167
2021-07-12,0.983167
2021-07-13,0.983167
2021-07-14,0.983167
2021-07-15,0.983167
2021-07-16,0.983167
2021-07-19,0.983167
2021-07-20,0.983167
2021-07-21,0.983167
2021-07-22,0.983167
2021-07-23,0.983167
2021-07-26,0.983167
2021-07-27,0.983167
2021-07-28,0.983167
2021-07-29,0.983167
2021-07-30,0.983167
2021-08-02,0.983167
2021-08-03,0.983167
2021-08-04,0.983167
2021-08-05,0.993417
2021-08-06,0.992417
2021-08-09,1.089764
2021-08-10,1.089764
2021-08-11,1.089764
