date,performance
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-07,1.0
2019-01-08,1.0
2019-01-09,1.0
2019-01-10,1.0
2019-01-11,1.0
2019-01-14,1.0
2019-01-15,1.0
2019-01-16,1.0
2019-01-17,1.0
2019-01-18,1.0
2019-01-21,1.0
2019-01-22,1.0
2019-01-23,1.0
2019-01-24,1.0
2019-01-25,1.0
2019-01-28,1.0
2019-01-29,1.0
2019-01-30,1.0
2019-01-31,1.0
2019-02-01,1.0
2019-02-11,1.0
2019-02-12,1.0
2019-02-13,1.0
2019-02-14,1.0
2019-02-15,1.0
2019-02-18,1.0
2019-02-19,1.0
2019-02-20,1.0
2019-02-21,1.0
2019-02-22,1.0
2019-02-25,1.0
2019-02-26,1.0
2019-02-27,1.0
2019-02-28,0.989241
2019-03-01,0.989241
2019-03-04,0.989241
2019-03-05,0.989241
2019-03-06,0.989241
2019-03-07,0.989241
2019-03-08,0.989241
2019-03-11,0.989241
2019-03-12,0.989241
2019-03-13,0.989241
2019-03-14,0.989241
2019-03-15,0.994106
2019-03-18,0.994106
2019-03-19,0.994106
2019-03-20,0.994106
2019-03-21,0.994106
2019-03-22,0.994106
2019-03-25,0.974821
2019-03-26,0.974821
2019-03-27,0.974821
2019-03-28,0.974821
2019-03-29,0.974821
2019-04-01,0.974821
2019-04-02,0.974821
2019-04-03,0.974821
2019-04-04,0.974821
2019-04-05,0.974821
2019-04-08,0.974821
2019-04-09,0.974821
2019-04-10,0.974821
2019-04-11,0.974821
2019-04-12,0.974821
2019-04-16,0.974821
2019-04-17,0.974821
2019-04-18,0.974821
2019-04-19,0.974821
2019-04-22,0.974821
2019-04-23,0.974821
2019-04-24,0.974821
2019-04-25,0.974821
2019-04-26,0.974821
2019-05-02,0.974821
2019-05-03,0.974821
2019-05-06,0.974821
2019-05-07,0.974821
2019-05-08,0.974821
2019-05-09,0.974821
2019-05-10,0.974821
2019-05-13,0.974821
2019-05-14,0.974821
2019-05-15,0.974821
2019-05-16,0.974821
2019-05-17,0.974821
2019-05-20,0.974821
2019-05-21,0.974821
2019-05-22,0.976558
2019-05-23,0.976558
2019-05-24,0.976558
2019-05-27,0.976558
2019-05-28,0.976558
2019-05-29,0.976558
2019-05-30,0.976558
2019-05-31,0.976558
2019-06-03,0.976558
2019-06-04,0.976558
2019-06-05,0.976558
2019-06-06,0.976558
2019-06-07,0.960366
2019-06-10,0.960366
2019-06-11,0.958067
2019-06-12,0.958067
2019-06-13,0.958067
2019-06-14,0.958067
2019-06-17,0.958067
2019-06-18,0.958067
2019-06-19,0.958067
2019-06-20,0.958067
2019-06-21,0.958067
2019-06-24,0.958067
2019-06-25,0.987982
2019-06-26,0.994158
2019-06-27,0.994158
2019-06-28,0.994158
2019-07-01,0.994158
2019-07-02,0.994158
2019-07-03,0.994158
2019-07-04,0.994638
2019-07-05,0.994638
2019-07-08,0.994638
2019-07-09,0.994638
2019-07-10,0.994638
2019-07-11,0.994638
2019-07-12,0.994638
2019-07-15,0.994638
2019-07-16,1.053117
2019-07-17,1.051357
2019-07-18,1.051357
2019-07-19,1.051357
2019-07-22,1.051357
2019-07-23,1.051357
2019-07-24,1.051357
2019-07-25,1.051357
2019-07-26,1.051357
2019-07-29,1.051357
2019-07-30,1.051357
2019-07-31,1.051357
2019-08-01,1.051357
2019-08-02,1.051357
2019-08-05,1.051357
2019-08-06,1.039965
2019-08-07,1.039965
2019-08-08,1.039965
2019-08-09,1.039965
2019-08-12,1.132219
2019-08-13,1.137237
2019-08-14,1.137237
2019-08-15,1.150747
2019-08-16,1.150747
2019-08-19,1.150747
2019-08-20,1.150747
2019-08-21,1.150747
2019-08-22,1.150747
2019-08-23,1.150747
2019-08-26,1.150747
2019-08-27,1.150747
2019-08-28,1.150747
2019-08-29,1.150747
2019-08-30,1.150747
2019-09-03,1.150747
2019-09-04,1.150747
2019-09-05,1.150747
2019-09-06,1.150747
2019-09-09,1.150747
2019-09-10,1.118902
2019-09-11,1.118902
2019-09-12,1.118902
2019-09-13,1.118902
2019-09-16,1.118902
2019-09-17,1.118902
2019-09-18,1.118902
2019-09-19,1.118902
2019-09-20,1.118902
2019-09-23,1.118902
2019-09-24,1.118902
2019-09-25,1.118902
2019-09-26,1.118902
2019-09-27,1.118902
2019-09-30,1.118902
2019-10-01,1.130744
2019-10-02,1.130744
2019-10-03,1.130744
2019-10-04,1.132015
2019-10-07,1.132015
2019-10-08,1.126387
2019-10-09,1.126387
2019-10-10,1.122946
2019-10-11,1.122946
2019-10-14,1.122946
2019-10-15,1.122946
2019-10-16,1.122946
2019-10-17,1.122946
2019-10-18,1.122946
2019-10-21,1.122946
2019-10-22,1.134757
2019-10-23,1.134757
2019-10-24,1.134757
2019-10-25,1.134757
2019-10-28,1.134757
2019-10-29,1.134757
2019-10-30,1.134757
2019-10-31,1.134757
2019-11-01,1.134757
2019-11-04,1.134757
2019-11-05,1.134757
2019-11-06,1.134757
2019-11-07,1.134757
2019-11-08,1.134757
2019-11-11,1.127906
2019-11-12,1.127906
2019-11-13,1.084829
2019-11-14,1.084829
2019-11-15,1.084829
2019-11-18,1.084829
2019-11-19,1.084829
2019-11-20,1.084829
2019-11-21,1.084829
2019-11-22,1.084829
2019-11-25,1.084829
2019-11-26,1.084829
2019-11-27,1.084829
2019-11-28,1.084829
2019-11-29,1.084829
2019-12-02,1.084829
2019-12-03,1.084829
2019-12-04,1.084829
2019-12-05,1.084829
2019-12-06,1.084829
2019-12-09,1.084829
2019-12-10,1.084829
2019-12-11,1.084829
2019-12-12,1.084829
2019-12-13,1.084829
2019-12-16,1.084829
2019-12-17,1.084829
2019-12-18,1.084829
2019-12-19,1.084829
2019-12-20,1.084829
2019-12-23,1.084829
2019-12-24,1.084829
2019-12-25,1.084829
2019-12-26,1.084829
2019-12-27,1.084829
2019-12-30,1.084829
2019-12-31,1.084829
2020-01-02,1.084829
2020-01-03,1.084829
2020-01-06,1.084829
2020-01-07,1.084829
2020-01-08,1.084829
2020-01-09,1.090685
2020-01-10,1.090685
2020-01-13,1.090685
2020-01-14,1.090685
2020-01-15,1.090685
2020-01-16,1.090685
2020-01-17,1.086149
2020-01-20,1.086149
2020-01-21,1.11854
2020-01-22,1.11854
2020-01-30,1.11854
2020-01-31,1.11854
