,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,epsChange,assetOnEquity,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,industry,organName
10,MBB,Q3,2018,10.0,1.5,0.173,0.016,1338,8788,0.046,0.243,0.016,1.06,0.036,0.097,0.162,0.41,0.1,0.126,10.4,0.475,0.367,0.638,0.596,0.881,0.725,0.009,0.392,9.4,0.012,0.06,0.162,Ngân hàng,Ngân hàng Thương mại Cổ phần Quân đội
11,SHB,Q3,2018,11.6,1.1,0.107,0.006,589,6019,0.021,0.079,0.028,0.557,0.062,0.054,0.081,0.546,0.1,-0.086,18.7,0.363,0.218,0.728,0.657,0.898,0.811,0.018,0.269,17.7,0.004,0.033,0.028,Ngân hàng,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội
12,STB,Q3,2018,18.3,1.0,0.057,0.003,738,13184,0.022,0.297,0.032,0.477,0.052,0.059,0.094,0.666,0.1,-0.098,17.0,0.171,0.055,0.741,0.628,0.709,1.045,0.02,0.263,16.0,0.002,0.006,0.136,Ngân hàng,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
13,TCB,Q3,2018,11.7,2.1,0.254,0.032,2496,14093,0.042,0.328,0.021,0.775,0.041,0.159,0.296,0.284,0.2,0.042,6.3,0.572,0.444,0.579,0.535,0.862,0.671,0.011,0.488,5.3,0.013,0.043,0.215,Ngân hàng,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam
14,TPB,Q3,2018,12.7,1.9,0.185,0.013,1315,8707,0.036,0.193,0.012,0.991,0.044,0.08,0.138,0.525,0.1,0.181,12.4,0.379,0.339,0.636,0.582,1.052,0.605,0.007,0.375,11.4,0.002,0.057,0.302,Ngân hàng,Ngân hàng Thương mại Cổ phần Tiên Phong
15,VCB,Q3,2018,18.8,3.7,0.209,0.013,3258,16588,0.028,0.211,0.012,1.555,0.031,0.062,0.098,0.423,0.1,0.07,16.2,0.462,0.312,0.652,0.631,0.812,0.804,0.007,0.384,15.2,0.009,0.05,0.171,Ngân hàng,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam
16,VIB,Q3,2018,7.7,1.5,0.21,0.016,1289,6515,0.038,0.143,0.025,0.466,0.043,0.076,0.112,0.459,0.1,0.15,13.1,0.433,0.307,0.71,0.685,1.14,0.622,0.017,0.321,12.1,0.002,0.047,0.254,Ngân hàng,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam
17,VPB,Q3,2018,9.7,2.1,0.229,0.025,1538,7195,0.092,0.21,0.047,0.417,0.065,0.108,0.16,0.408,0.1,-0.068,9.3,0.473,0.184,0.723,0.675,1.279,0.565,0.032,0.31,8.3,0.05,-0.03,0.193,Ngân hàng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng
18,HPG,Q3,2018,9.5,2.3,0.267,0.155,2057,8697,,,,,,0.555,,,1.3,0.029,1.8,,,,,,,,,0.8,,0.066,,Tài nguyên Cơ bản,Công ty Cổ phần Tập đoàn Hòa Phát
19,MSN,Q3,2018,18.9,6.1,0.309,0.087,4801,14925,,,,,,0.272,,,0.5,-0.002,3.7,,,,,,,,,1.9,,0.036,,Thực phẩm và đồ uống,Công ty Cổ phần Tập đoàn Masan
20,VNM,Q3,2018,22.1,8.4,0.391,0.295,4628,12181,,,,,,0.748,,,3.2,-0.014,1.3,,,,,,,,,0.3,,-0.023,,Thực phẩm và đồ uống,Công ty Cổ phần Sữa Việt Nam
21,SAB,Q3,2018,30.0,8.1,0.285,0.203,6991,25959,,,,,,0.724,,,3.3,-0.027,1.4,,,,,,,,,0.3,,0.06,,Thực phẩm và đồ uống,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn
22,VJC,Q3,2018,15.0,6.5,0.524,0.178,10036,22985,,,,,,0.356,,,0.6,0.152,2.8,,,,,,,,,1.8,,0.059,,Du lịch và Giải trí,Công ty Cổ phần Hàng không Vietjet
23,MWG,Q3,2018,15.9,5.4,0.412,0.131,3869,11442,,,,,,0.319,,,0.5,0.031,3.1,,,,,,,,,2.1,,0.086,,Bán lẻ,Công ty Cổ phần Đầu tư Thế Giới Di Động
24,PLX,Q3,2018,20.8,4.0,0.195,0.062,2993,15427,,,,,,0.313,,,0.6,0.009,3.2,,,,,,,,,1.8,,0.039,,Dầu khí,Tập đoàn Xăng dầu Việt Nam
25,FPT,Q3,2018,8.0,2.2,0.289,0.112,3579,13083,,,,,,0.423,,,1.0,0.046,2.4,,,,,,,,,1.0,,0.009,,Công nghệ Thông tin,Công ty Cổ phần FPT
26,ABC,Q3,2018,9.5,0.3,0.035,0.026,850,24605,,,,,,0.714,,,3.7,0.031,1.4,,,,,,,,,0.3,,0.013,,Viễn thông,Công ty Cổ phần Truyền thông VMG
27,FOX,Q3,2018,10.2,2.6,0.273,0.104,3003,11651,,,,,,0.351,,,0.6,0.056,2.9,,,,,,,,,1.6,,0.079,,Viễn thông,Công ty Cổ phần Viễn thông FPT
28,PIA,Q3,2018,4.4,1.4,0.351,0.219,4493,13907,,,,,,0.584,,,1.4,-0.165,1.7,,,,,,,,,0.7,,0.071,,Viễn thông,Công ty Cổ phần Tin học Viễn thông Petrolimex
29,TTN,Q3,2018,2.8,0.6,0.24,0.143,1952,9129,,,,,,0.608,,,1.6,0.028,1.6,,,,,,,,,0.6,,0.024,,Viễn thông,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam
30,AGR,Q3,2018,22.6,0.5,0.021,0.02,175,8699.0,,,,,,0.992,,,117.6,0.17,1.0,,,,,,,,,0.0,,0.038,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán AGRIBANK
31,APG,Q3,2018,44.8,3.0,0.068,0.067,132,1973.0,,,,,,0.986,,,71.1,0.653,1.0,,,,,,,,,0.0,,0.028,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán APG
32,APS,Q3,2018,-43.0,0.6,-0.015,-0.015,-67,4457.0,,,,,,0.977,,,43.4,-0.282,1.0,,,,,,,,,0.0,,0.0,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương
33,BCG,Q3,2018,52.5,1.4,0.027,0.007,99,3734,,,,,,0.259,,,0.4,-0.252,3.9,,,,,,,,,2.2,,0.003,,Dịch vụ tài chính,Công ty Cổ phần Tập đoàn Bamboo Capital
34,BSI,Q3,2018,5.5,0.9,0.178,0.128,1914,12281.0,,,,,,0.836,,,5.1,-0.009,1.2,,,,,,,,,0.2,,0.026,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán BIDV
35,BVS,Q3,2018,7.5,0.5,0.07,0.046,1651,23946.0,,,,,,0.527,,,1.1,0.023,1.9,,,,,,,,,0.9,,-0.012,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Bảo Việt
36,CTS,Q3,2018,6.5,0.9,0.15,0.09,1728,12340.0,,,,,,0.555,,,1.2,0.763,1.8,,,,,,,,,0.8,,0.07,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam
37,FIT,Q3,2018,72.9,0.4,0.005,0.003,56,11178,,,,,,0.554,,,3.0,-0.656,1.8,,,,,,,,,0.3,,-0.004,,Dịch vụ tài chính,Công ty Cổ phần Tập đoàn F.I.T
38,ART,Q3,2018,17.7,1.0,0.094,0.089,592,10575,,,,,,0.968,,,29.9,-0.104,1.0,,,,,,,,,0.0,,1.438,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán BOS
39,FTS,Q3,2018,7.3,1.0,0.148,0.111,1577,11220,,,,,,0.62,,,1.6,0.036,1.6,,,,,,,,,0.6,,0.03,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán FPT
40,HBS,Q3,2018,35.2,0.2,0.006,0.006,73,11424.0,,,,,,0.997,,,339.4,-0.061,1.0,,,,,,,,,0.0,,0.001,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Hòa Bình
41,HCM,Q3,2018,13.0,3.3,0.278,0.151,1725,6700.0,,,,,,0.544,,,1.2,-0.006,1.8,,,,,,,,,0.8,,0.045,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
42,HAC,Q3,2018,7.6,0.3,0.039,0.038,405,10532,,,,,,0.968,,,30.1,-3.552,1.0,,,,,,,,,0.0,,0.046,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Hải Phòng
43,IBC,Q3,2018,64.5,1.9,0.028,0.014,319,11038,,,,,,0.429,,,1.2,-0.027,2.3,,,,,,,,,0.9,,0.035,,Dịch vụ tài chính,Công ty Cổ phần Đầu tư APAX Holdings
44,IVS,Q3,2018,4392.5,2.7,0.001,0.001,3,4937.0,,,,,,0.988,,,79.5,-0.049,1.0,,,,,,,,,0.0,,0.0,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam)
45,OGC,Q3,2018,-4.9,3.4,-0.569,-0.034,-617,889,,,,,,0.054,,,0.2,-0.093,18.5,,,,,,,,,4.6,,0.176,,Dịch vụ tài chính,Công ty Cổ phần Tập đoàn Đại Dương
46,ORS,Q3,2018,-71.7,10.5,-0.137,-0.019,-43,294.0,,,,,,0.132,,,0.2,-0.145,7.6,,,,,,,,,6.6,,0.01,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Tiên Phong
47,PHS,Q3,2018,,,0.072,0.027,220,3809.0,,,,,,0.378,,,0.6,0.104,2.6,,,,,,,,,1.6,,0.013,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Phú Hưng
48,PSI,Q3,2018,15.6,0.3,0.02,0.019,205,10246.0,,,,,,0.933,,,14.0,0.216,1.1,,,,,,,,,0.1,,0.005,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Dầu khí
49,SBS,Q3,2018,267.4,1.5,0.006,0.004,8,1625.0,,,,,,0.696,,,2.3,-0.201,1.4,,,,,,,,,0.4,,0.002,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán SBS
50,SHS,Q3,2018,6.7,1.5,0.255,0.081,1233,5465.0,,,,,,0.328,,,0.5,-0.011,3.1,,,,,,,,,2.1,,0.057,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội
51,MBS,Q3,2018,16.2,2.0,0.133,0.046,679,5456,,,,,,0.38,,,0.6,0.326,2.6,,,,,,,,,1.6,,0.036,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán MB
52,TVB,Q3,2018,78.3,8.2,0.111,0.082,176,1675.0,,,,,,0.723,,,2.6,0.12,1.4,,,,,,,,,0.4,,0.032,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Trí Việt
53,TVC,Q3,2018,41.6,1.8,0.044,0.019,184,4312,,,,,,0.414,,,0.9,0.079,2.4,,,,,,,,,1.1,,0.014,,Dịch vụ tài chính,Công ty Cổ phần Tập đoàn Quản lý Tài sản Trí Việt
54,TVS,Q3,2018,5.9,1.1,0.204,0.074,1453,7816.0,,,,,,0.319,,,0.5,0.374,3.1,,,,,,,,,2.1,,0.023,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Thiên Việt
55,VCI,Q3,2018,10.6,2.5,0.271,0.137,2616,11337,,,,,,0.512,,,1.1,-0.043,2.0,,,,,,,,,1.0,,0.05,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Vietcap
56,VDS,Q3,2018,8.4,0.8,0.111,0.055,1013,10639.0,,,,,,0.515,,,1.1,-0.019,1.9,,,,,,,,,0.9,,0.02,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Rồng Việt
57,VIG,Q3,2018,-387.2,0.3,-0.001,-0.001,-4,6392.0,,,,,,0.937,,,14.9,-0.848,1.1,,,,,,,,,0.1,,0.007,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam
58,VIX,Q3,2018,4.6,1.0,0.248,0.166,890,3978.0,,,,,,0.798,,,4.0,0.749,1.3,,,,,,,,,0.3,,0.111,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán VIX
59,VND,Q3,2018,12.8,1.8,0.161,0.05,1026,7205.0,,,,,,0.286,,,0.4,-0.017,3.5,,,,,,,,,2.5,,0.035,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán VNDIRECT
60,WSS,Q3,2018,-5.1,0.3,-0.058,-0.053,-605,10217.0,,,,,,0.893,,,8.3,0.89,1.1,,,,,,,,,0.1,,-0.025,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán Phố Wall
61,AAV,Q3,2018,17.3,2.2,0.139,0.052,572,4448,,,,,,0.37,,,0.7,0.179,2.7,,,,,,,,,1.5,,0.065,,Bất động sản,Công ty Cổ phần AAV Group
62,AMD,Q3,2018,10.6,0.3,0.045,0.031,345,10832,,,,,,0.751,,,3.3,-0.029,1.3,,,,,,,,,0.3,,0.005,,Bất động sản,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone
63,API,Q3,2018,7.9,1.3,0.183,0.058,2332,14052,,,,,,0.316,,,0.5,0.177,3.2,,,,,,,,,2.2,,0.058,,Bất động sản,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương
64,BII,Q3,2018,9.0,0.1,0.015,0.011,155,10551,,,,,,0.747,,,3.2,0.736,1.3,,,,,,,,,0.3,,0.002,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư
65,MH3,Q3,2018,4.6,0.8,0.179,0.045,3131,17883,,,,,,0.238,,,0.3,0.044,4.2,,,,,,,,,3.2,,-0.069,,Bất động sản,Công ty Cổ phần Khu công nghiệp Cao su Bình Long
66,C21,Q3,2018,5.7,0.6,0.119,0.076,3757,35320,,,,,,0.663,,,2.1,-0.056,1.5,,,,,,,,,0.5,,0.186,,Bất động sản,Công ty Cổ phần Thế kỷ 21
67,CCL,Q3,2018,4.5,0.2,0.062,0.044,588,11030,,,,,,0.727,,,2.7,0.291,1.4,,,,,,,,,0.4,,0.013,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
68,CEO,Q3,2018,14.2,1.8,0.128,0.035,891,7088,,,,,,0.233,,,0.4,0.111,4.3,,,,,,,,,2.2,,0.032,,Bất động sản,Công ty Cổ phần Tập đoàn C.E.O
69,CLG,Q3,2018,7.6,0.2,0.033,0.007,381,11657,,,,,,0.245,,,0.3,-0.131,4.1,,,,,,,,,2.9,,0.0,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec
70,D11,Q3,2018,56.5,0.8,0.014,0.003,199,13594,,,,,,0.165,,,0.2,-0.115,6.1,,,,,,,,,5.1,,0.001,,Bất động sản,Công ty Cổ phần Địa ốc 11
71,D2D,Q3,2018,7.6,1.3,0.178,0.063,2630,15411,,,,,,0.408,,,0.7,0.002,2.4,,,,,,,,,1.4,,0.014,,Bất động sản,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2
72,DIG,Q3,2018,36.8,2.1,0.058,0.026,330,5839,,,,,,0.456,,,0.9,0.086,2.2,,,,,,,,,1.1,,0.013,,Bất động sản,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
73,DRH,Q3,2018,20.7,1.2,0.062,0.03,711,12041,,,,,,0.371,,,0.6,-0.235,2.7,,,,,,,,,1.7,,0.041,,Bất động sản,Công ty Cổ phần DRH Holdings
74,DTA,Q3,2018,57.3,0.7,0.013,0.007,122,9840,,,,,,0.492,,,1.0,-0.419,2.0,,,,,,,,,1.0,,0.136,,Bất động sản,Công ty Cổ phần Đệ Tam
75,DXG,Q3,2018,11.8,2.7,0.259,0.09,1747,7564,,,,,,0.336,,,0.7,0.063,3.0,,,,,,,,,1.4,,0.076,,Bất động sản,Công ty Cổ phần Tập đoàn Đất Xanh
76,LEC,Q3,2018,88.0,1.6,0.018,0.007,214,12048,,,,,,0.311,,,0.5,-0.43,3.2,,,,,,,,,1.9,,-0.004,,Bất động sản,Công ty Cổ phần Bất động sản Điện lực Miền Trung
77,FDC,Q3,2018,81.1,0.9,0.011,0.007,165,14543,,,,,,0.572,,,1.4,-0.56,1.7,,,,,,,,,0.7,,-0.009,,Bất động sản,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh
78,FID,Q3,2018,21.1,0.1,0.007,0.006,66,10188,,,,,,0.86,,,6.2,-0.202,1.2,,,,,,,,,0.2,,-0.001,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam
79,FLC,Q3,2018,10.5,0.5,0.049,0.018,589,12173,,,,,,0.329,,,0.5,-0.021,3.0,,,,,,,,,2.0,,0.011,,Bất động sản,Công ty Cổ phần Tập đoàn FLC
80,HAR,Q3,2018,18.8,0.5,0.029,0.024,319,11030,,,,,,0.85,,,5.7,0.262,1.2,,,,,,,,,0.2,,0.019,,Bất động sản,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền
81,HDC,Q3,2018,9.5,1.0,0.111,0.051,903,8417,,,,,,0.489,,,1.0,-0.273,2.0,,,,,,,,,1.0,,0.005,,Bất động sản,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu
82,HDG,Q3,2018,9.1,2.5,0.315,0.044,2416,8792,,,,,,0.139,,,0.3,0.354,7.2,,,,,,,,,3.4,,0.139,,Bất động sản,Công ty Cổ phần Tập đoàn Hà Đô
83,TCH,Q3,2018,34.6,2.7,0.078,0.067,544,6888,,,,,,0.815,,,4.5,-0.125,1.2,,,,,,,,,0.2,,-0.054,,Bất động sản,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
84,HPI,Q3,2018,8.2,0.7,0.086,0.03,1401,16403,,,,,,0.305,,,0.4,1.137,3.3,,,,,,,,,2.3,,0.068,,Bất động sản,Công ty Cổ phần Khu công nghiệp Hiệp Phước
85,HLD,Q3,2018,2.2,0.5,0.197,0.109,3936,17982,,,,,,0.461,,,0.9,0.06,2.2,,,,,,,,,1.2,,0.013,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND
86,HQC,Q3,2018,17.4,0.2,0.011,0.007,105,8968,,,,,,0.64,,,1.8,0.001,1.6,,,,,,,,,0.6,,0.002,,Bất động sản,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân
87,IDJ,Q3,2018,66.6,0.5,0.008,0.006,27,3682,,,,,,0.812,,,4.3,-3.478,1.2,,,,,,,,,0.2,,-0.003,,Bất động sản,Công ty Cổ phần Đầu tư IDJ Việt Nam
88,IDV,Q3,2018,5.4,1.7,0.331,0.094,3268,10568,,,,,,0.293,,,0.4,0.071,3.4,,,,,,,,,2.4,,0.054,,Bất động sản,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc
89,IJC,Q3,2018,6.0,0.9,0.146,0.031,1122,7898,,,,,,0.215,,,0.3,0.18,4.6,,,,,,,,,3.6,,0.043,,Bất động sản,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật
90,ITA,Q3,2018,18.9,0.3,0.013,0.011,148,11081,,,,,,0.789,,,3.8,1.418,1.3,,,,,,,,,0.3,,0.008,,Bất động sản,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo
91,ITC,Q3,2018,10.0,0.5,0.052,0.024,1029,19809,,,,,,0.475,,,0.9,0.267,2.1,,,,,,,,,1.1,,0.028,,Bất động sản,Công ty Cổ phần Đầu tư - Kinh doanh nhà
92,KAC,Q3,2018,13.0,0.6,0.05,0.029,606,12433,,,,,,0.573,,,1.3,-0.264,1.7,,,,,,,,,0.7,,-0.024,,Bất động sản,Công ty Cổ phần Đầu tư Địa ốc Khang An
93,KBC,Q3,2018,12.8,0.8,0.062,0.033,932,15405,,,,,,0.531,,,1.4,0.207,1.9,,,,,,,,,0.7,,0.026,,Bất động sản,Tổng Công ty Phát triển Đô thị Kinh Bắc
94,KDH,Q3,2018,26.1,2.2,0.106,0.058,835,9874,,,,,,0.648,,,1.9,0.055,1.5,,,,,,,,,0.5,,-0.006,,Bất động sản,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền
95,LDG,Q3,2018,9.0,1.5,0.183,0.094,1560,9334,,,,,,0.499,,,1.0,1.289,2.0,,,,,,,,,1.0,,0.152,,Bất động sản,Công ty Cổ phần Đầu tư LDG
96,LGL,Q3,2018,2.3,0.5,0.283,0.059,2781,11442,,,,,,0.233,,,0.4,0.13,4.3,,,,,,,,,2.6,,-0.05,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang
97,LHG,Q3,2018,3.9,0.8,0.272,0.133,4884,22563,,,,,,0.559,,,1.3,-0.057,1.8,,,,,,,,,0.8,,0.012,,Bất động sản,Công ty Cổ phần Long Hậu
98,NBB,Q3,2018,18.7,0.9,0.048,0.018,859,18284,,,,,,0.379,,,0.7,0.315,2.6,,,,,,,,,1.4,,0.017,,Bất động sản,Công ty Cổ phần Đầu tư Năm Bảy Bảy
99,NDN,Q3,2018,5.0,1.0,0.213,0.108,1649,8310,,,,,,0.411,,,0.7,0.084,2.4,,,,,,,,,1.4,,0.059,,Bất động sản,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng
100,NLG,Q3,2018,10.7,2.2,0.24,0.096,2369,11688,,,,,,0.432,,,1.0,0.859,2.3,,,,,,,,,1.0,,0.12,,Bất động sản,Công ty Cổ phần Đầu tư Nam Long
101,NVL,Q3,2018,34.2,4.1,0.143,0.038,1419,11816,,,,,,0.279,,,0.4,0.088,3.6,,,,,,,,,2.4,,0.039,,Bất động sản,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va
102,NTB,Q3,2018,-0.1,0.0,0.289,-0.106,-7928,-31363,,,,,,-0.421,,,-0.3,0.045,-2.4,,,,,,,,,-3.4,,0.079,,Bất động sản,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584
103,NTC,Q3,2018,4.7,2.1,0.488,0.065,7849,17644,,,,,,0.134,,,0.2,0.211,7.5,,,,,,,,,6.5,,0.154,,Bất động sản,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên
104,NTL,Q3,2018,6.1,0.5,0.076,0.043,1165,15267,,,,,,0.532,,,1.2,-0.319,1.9,,,,,,,,,0.9,,0.023,,Bất động sản,Công ty Cổ phần Phát triển Đô thị Từ Liêm
105,NVT,Q3,2018,-3.2,2.2,-0.509,-0.221,-1876,2745,,,,,,0.48,,,3.1,-0.054,2.1,,,,,,,,,0.3,,0.014,,Bất động sản,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay
106,PDR,Q3,2018,12.7,2.2,0.192,0.052,1137,6468,,,,,,0.275,,,0.4,-0.017,3.6,,,,,,,,,2.6,,0.034,,Bất động sản,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
107,PIV,Q3,2018,-196.2,0.1,-0.001,0.0,-7,10476,,,,,,0.414,,,0.7,-1.04,2.4,,,,,,,,,1.4,,-0.008,,Bất động sản,Công ty Cổ phần PIV
108,PPI,Q3,2018,-1.1,0.2,-0.124,-0.065,-1123,8149,,,,,,0.521,,,1.1,-0.006,1.9,,,,,,,,,0.9,,-0.021,,Bất động sản,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương
109,PTL,Q3,2018,-356.6,0.3,-0.001,-0.001,-7,8104,,,,,,0.648,,,2.0,-0.807,1.5,,,,,,,,,0.5,,-0.001,,Bất động sản,Công ty Cổ phần Victory Capital
110,PV2,Q3,2018,7.7,0.5,0.071,0.068,402,5874,,,,,,0.963,,,26.0,0.073,1.0,,,,,,,,,0.0,,0.008,,Bất động sản,Công ty Cổ phần Đầu tư PV2
111,PXC,Q3,2018,-0.1,-0.1,1.322,-0.369,-3458,-4359,,,,,,-0.507,,,-0.3,0.092,-2.0,,,,,,,,,-3.0,,0.039,,Bất động sản,Công ty Cổ phần Phát triển Đô thị Dầu khí
112,PVL,Q3,2018,-6.4,0.4,-0.066,-0.027,-267,3932,,,,,,0.481,,,0.9,-0.32,2.1,,,,,,,,,1.1,,0.012,,Bất động sản,Công ty Cổ phần Đầu tư Nhà Đất Việt
