,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,epsChange,assetOnEquity,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,industry,organName
0,SSI,Q3,2018,11.5,1.8,0.158,0.071,1468,9614.0,,,,,,0.403,,,0.7,0.126,2.5,,,,,,,,,1.5,,0.04,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán SSI
1,VIC,Q3,2018,86.4,6.4,0.096,0.016,1010,13692,,,,,,0.194,,,0.6,0.061,5.1,,,,,,,,,1.7,,0.246,,Bất động sản,Tập đoàn Vingroup - Công ty CP
2,VRE,Q3,2018,33.6,2.7,0.085,0.061,987,12225,,,,,,0.755,,,3.1,0.088,1.3,,,,,,,,,0.3,,0.02,,Bất động sản,Công ty Cổ phần Vincom Retail
3,BVH,Q3,2018,60.8,4.8,0.082,0.012,1544,19636.0,,,,,,0.144,,,0.2,-0.08,6.9,,,,,,,,,5.6,,-0.042,,Bảo hiểm,Tập đoàn Bảo Việt
4,POW,Q3,2018,20.1,1.5,0.074,0.029,784,10352,,,,,,0.395,,,0.8,-0.296,2.5,,,,,,,,,1.3,,0.011,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
5,GAS,Q3,2018,15.6,4.6,0.305,0.206,6556,22202,,,,,,0.697,,,2.6,0.116,1.4,,,,,,,,,0.4,,-0.016,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Khí Việt Nam - Công ty Cổ phần
6,ACB,Q3,2018,10.0,2.2,0.263,0.015,1614,7223,0.035,0.237,0.008,1.295,0.049,0.062,0.088,0.452,0.1,0.212,16.0,0.441,0.39,0.742,0.706,0.824,0.9,0.006,0.287,15.0,0.011,0.066,0.198,Ngân hàng,Ngân hàng Thương mại Cổ phần Á Châu
7,BID,Q3,2018,16.2,2.5,0.177,0.007,2069,13356,0.029,0.25,0.018,0.87,0.049,0.042,0.055,0.39,0.0,0.031,23.6,0.483,0.167,0.787,0.764,1.016,0.774,0.013,0.23,22.6,0.019,0.01,0.17,Ngân hàng,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
8,CTG,Q3,2018,13.2,1.4,0.117,0.007,1599,14548,0.027,0.192,0.014,1.304,0.045,0.06,0.078,0.385,0.1,-0.01,16.8,0.494,0.202,0.8,0.76,1.08,0.741,0.01,0.225,15.8,0.004,0.028,0.168,Ngân hàng,Ngân hàng Thương mại Cổ phần Công thương Việt Nam
9,HDB,Q3,2018,15.6,2.4,0.189,0.013,1210,8008,0.041,0.164,0.015,0.729,0.054,0.08,0.132,0.543,0.1,-0.081,12.5,0.365,0.31,0.639,0.606,0.93,0.687,0.009,0.387,11.5,0.007,0.043,0.251,Ngân hàng,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
