,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,epsChange,assetOnEquity,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,industry,organName
0,SSI,Q3,2020,14.0,1.6,0.115,0.042,737,6334.0,,,,,,0.35,,,0.5,0.073,2.9,,,,,,,,,1.8,,-0.031,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán SSI
1,VIC,Q3,2020,35.9,3.8,0.109,0.022,2263,21525,,,,,,0.191,,,0.4,0.137,5.2,,,,,,,,,2.5,,0.011,,Bất động sản,Tập đoàn Vingroup - Công ty CP
2,VRE,Q3,2020,27.4,2.2,0.081,0.059,1006,12466,,,,,,0.707,,,2.4,-0.059,1.4,,,,,,,,,0.4,,0.021,,Bất động sản,Công ty Cổ phần Vincom Retail
3,BVH,Q3,2020,29.7,1.7,0.066,0.009,1596,27149.0,,,,,,0.139,,,0.2,0.109,7.2,,,,,,,,,5.9,,0.021,,Bảo hiểm,Tập đoàn Bảo Việt
4,POW,Q3,2020,14.6,0.8,0.057,0.027,670,12023,,,,,,0.496,,,1.2,-0.275,2.0,,,,,,,,,0.8,,0.004,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
5,GAS,Q3,2020,14.1,2.8,0.198,0.147,4773,24418,,,,,,0.757,,,3.4,-0.086,1.3,,,,,,,,,0.3,,-0.108,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Khí Việt Nam - Công ty Cổ phần
6,ACB,Q3,2020,7.3,1.5,0.229,0.017,1978,9746,0.036,0.19,0.008,1.175,0.05,0.079,0.111,0.386,0.1,0.085,12.7,0.491,0.462,0.738,0.71,0.888,0.83,0.006,0.296,11.7,0.002,0.068,0.161,Ngân hàng,Ngân hàng Thương mại Cổ phần Á Châu
7,BID,Q3,2020,18.9,2.0,0.126,0.006,1678,16099,0.025,0.262,0.02,0.871,0.05,0.055,0.071,0.317,0.1,0.036,18.0,0.549,0.175,0.808,0.78,1.0,0.808,0.015,0.219,17.0,0.016,0.023,0.067,Ngân hàng,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
8,CTG,Q3,2020,8.7,1.1,0.14,0.009,2284,17338,0.028,0.211,0.019,0.842,0.045,0.066,0.087,0.326,0.1,-0.016,15.1,0.544,0.203,0.794,0.76,1.02,0.778,0.014,0.23,14.1,0.016,0.028,0.066,Ngân hàng,Ngân hàng Thương mại Cổ phần Công thương Việt Nam
9,HDB,Q3,2020,8.9,1.6,0.215,0.018,1714,9496,0.049,0.129,0.018,0.641,0.05,0.087,0.145,0.45,0.1,0.047,11.4,0.439,0.34,0.637,0.602,0.976,0.652,0.011,0.392,10.4,0.008,0.052,0.173,Ngân hàng,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
10,MBB,Q3,2020,5.9,1.0,0.2,0.02,1808,10642,0.05,0.233,0.015,1.189,0.037,0.113,0.18,0.421,0.1,0.023,8.9,0.465,0.36,0.675,0.629,0.998,0.676,0.009,0.362,7.9,0.017,0.054,0.118,Ngân hàng,Ngân hàng Thương mại Cổ phần Quân đội
11,SHB,Q3,2020,12.7,1.5,0.13,0.007,891,7785,0.026,0.2,0.025,0.567,0.064,0.059,0.082,0.366,0.1,0.078,16.8,0.507,0.24,0.809,0.727,0.985,0.821,0.018,0.196,15.8,0.009,0.046,0.156,Ngân hàng,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội
12,STB,Q3,2020,10.9,0.9,0.087,0.005,1260,14960,0.025,0.369,0.021,0.741,0.053,0.058,0.088,0.546,0.1,-0.023,17.2,0.363,0.149,0.742,0.66,0.747,0.994,0.014,0.268,16.2,0.008,0.028,0.102,Ngân hàng,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
13,TCB,Q3,2020,7.0,1.1,0.177,0.03,3241,20074,0.048,0.313,0.006,1.48,0.035,0.176,0.306,0.332,0.2,0.05,5.7,0.535,0.424,0.623,0.575,0.913,0.682,0.003,0.44,4.7,0.015,0.047,0.124,Ngân hàng,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam
14,TPB,Q3,2020,6.3,1.5,0.263,0.021,2269,9760,0.042,0.229,0.018,0.922,0.045,0.08,0.14,0.366,0.1,0.048,12.5,0.508,0.357,0.616,0.57,1.015,0.606,0.01,0.406,11.5,0.008,0.067,0.187,Ngân hàng,Ngân hàng Thương mại Cổ phần Tiên Phong
