,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,epsChange,assetOnEquity,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,industry,organName
0,SSI,Q3,2022,12.0,1.3,0.14,0.051,1589,14686.0,,,,,,0.485,,,1.0,-0.127,2.1,,,,,,,,,1.1,,0.548,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán SSI
1,BCM,Q3,2022,50.1,5.2,0.112,0.038,1769,16910,,,,,,0.356,,,0.6,0.092,2.8,,,,,,,,,1.6,,0.008,,Bất động sản,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP
2,VHM,Q3,2022,7.0,1.6,0.253,0.113,7264,31167,,,,,,0.397,,,0.7,0.118,2.5,,,,,,,,,1.4,,0.121,,Bất động sản,Công ty Cổ phần Vinhomes
3,VIC,Q3,2022,253.7,1.9,0.008,0.002,216,28967,,,,,,0.199,,,0.3,-2.766,5.0,,,,,,,,,3.0,,0.048,,Bất động sản,Tập đoàn Vingroup - Công ty CP
4,VRE,Q3,2022,30.8,2.0,0.066,0.053,909,14329,,,,,,0.815,,,4.4,0.593,1.2,,,,,,,,,0.2,,0.025,,Bất động sản,Công ty Cổ phần Vincom Retail
5,BVH,Q3,2022,21.2,1.6,0.079,0.01,2305,30002.0,,,,,,0.117,,,0.1,-0.036,8.6,,,,,,,,,7.2,,0.016,,Bảo hiểm,Tập đoàn Bảo Việt
6,POW,Q3,2022,25.2,1.0,0.038,0.02,489,12667,,,,,,0.525,,,1.3,-0.266,1.9,,,,,,,,,0.7,,0.002,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
7,GAS,Q3,2022,15.0,3.6,0.255,0.171,5881,24660,,,,,,0.665,,,2.1,0.047,1.5,,,,,,,,,0.5,,-0.046,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Khí Việt Nam - Công ty Cổ phần
8,ACB,Q3,2022,5.4,1.3,0.27,0.025,3410,14349,0.043,0.149,0.01,1.378,0.034,0.099,0.139,0.356,0.1,0.126,10.1,0.516,0.506,0.746,0.717,1.026,0.727,0.007,0.296,9.1,0.001,0.07,0.195,Ngân hàng,Ngân hàng Thương mại Cổ phần Á Châu
9,BID,Q3,2022,10.6,1.7,0.181,0.009,2846,17704,0.028,0.197,0.013,2.138,0.034,0.049,0.068,0.311,0.1,0.249,20.3,0.553,0.305,0.751,0.73,1.057,0.711,0.01,0.284,19.3,0.009,0.075,0.125,Ngân hàng,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
10,CTG,Q3,2022,7.2,1.1,0.155,0.01,2899,19759,0.029,0.254,0.014,2.224,0.034,0.061,0.085,0.28,0.1,0.06,16.5,0.575,0.192,0.756,0.711,1.047,0.722,0.01,0.277,15.5,0.004,0.032,0.148,Ngân hàng,Ngân hàng Thương mại Cổ phần Công thương Việt Nam
11,HDB,Q3,2022,6.1,1.2,0.24,0.02,2600,12847,0.049,0.169,0.015,0.81,0.041,0.093,0.151,0.371,0.1,0.084,10.7,0.503,0.402,0.679,0.618,1.186,0.573,0.009,0.337,9.7,0.01,0.051,0.287,Ngân hàng,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
