,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,epsChange,assetOnEquity,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,industry,organName
0,SSI,Q3,2021,26.5,4.6,0.194,0.056,1386,8015.0,,,,,,0.252,,,0.3,0.195,4.0,,,,,,,,,2.9,,0.06,,Dịch vụ tài chính,Công ty Cổ phần Chứng khoán SSI
1,BCM,Q3,2021,26.0,3.0,0.116,0.037,1702,14738,,,,,,0.316,,,0.5,-0.234,3.2,,,,,,,,,2.0,,-0.013,,Bất động sản,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP
2,VHM,Q3,2021,8.6,2.9,0.409,0.175,8868,26196,,,,,,0.519,,,1.2,0.152,1.9,,,,,,,,,0.8,,0.19,,Bất động sản,Công ty Cổ phần Vinhomes
3,VIC,Q3,2021,78.3,3.4,0.047,0.01,1123,26004,,,,,,0.229,,,0.6,-0.306,4.4,,,,,,,,,1.6,,0.114,,Bất động sản,Tập đoàn Vingroup - Công ty CP
4,VRE,Q3,2021,30.5,2.2,0.074,0.056,953,13419,,,,,,0.808,,,4.2,-0.202,1.2,,,,,,,,,0.2,,0.001,,Bất động sản,Công ty Cổ phần Vincom Retail
5,BVH,Q3,2021,23.6,2.0,0.087,0.012,2443,28726.0,,,,,,0.129,,,0.2,-0.007,7.7,,,,,,,,,6.5,,0.019,,Bảo hiểm,Tập đoàn Bảo Việt
6,POW,Q3,2021,10.2,0.9,0.094,0.049,1167,12886,,,,,,0.541,,,1.4,0.16,1.8,,,,,,,,,0.7,,0.016,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
7,GAS,Q3,2021,25.8,4.4,0.175,0.124,3653,21403,,,,,,0.671,,,2.2,0.049,1.5,,,,,,,,,0.5,,0.051,,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Khí Việt Nam - Công ty Cổ phần
8,ACB,Q3,2021,10.1,2.3,0.258,0.022,2503,10937,0.042,0.206,0.008,1.977,0.038,0.089,0.126,0.396,0.1,0.003,11.3,0.485,0.37,0.728,0.702,0.92,0.792,0.006,0.316,10.3,0.001,0.052,0.131,Ngân hàng,Ngân hàng Thương mại Cổ phần Á Châu
9,BID,Q3,2021,17.8,2.1,0.124,0.006,1752,15089,0.03,0.2,0.016,1.402,0.039,0.051,0.065,0.333,0.1,-0.006,19.6,0.53,0.139,0.813,0.788,1.014,0.801,0.013,0.219,18.6,0.016,0.017,0.16,Ngân hàng,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
